state,ida,total_works,total_sanction_amount,mean_work_amount,mean_risk_score,critical_high_count,critical_pct,state_avg_risk,risk_variance_vs_state,geographic_risk_score,geographic_reason
Punjab,SRI MUKTSAR SAHIB(DEPUTY COMMISSIONER SRI MUKTSAR SAHIB_IDA),71,20080227.0,282820.0985915493,26.988732394366195,11,15.492957746478872,33.725506072874495,-6.7367736785083,35.0,District and IDA parameters match regional baseline standards.
Punjab,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),41,16041741.0,391261.9756097561,22.087804878048782,0,0.0,33.725506072874495,-11.637701194825713,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),26,20772514.0,798942.8461538461,32.676923076923075,1,3.8461538461538463,26.282744282744282,6.394178794178792,40.0,District and IDA parameters match regional baseline standards.
Rajasthan,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),63,55914434.1,887530.7000000001,29.55238095238095,2,3.1746031746031744,26.282744282744282,3.269636669636668,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,Anoopgarh(DISTRICT COLLECTOR Anoopgarh_IDA),2,2477799.0,1238899.5,57.5,0,0.0,26.282744282744282,31.217255717255718,55.0,IDA average risk (57.5) is significantly higher than state baseline (26.3).
Rajasthan,BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA),13,17679450.0,1359957.6923076923,31.853846153846156,0,0.0,26.282744282744282,5.571101871101874,40.0,District and IDA parameters match regional baseline standards.
Rajasthan,BARAN(DISTRICT COLLECTOR BARAN_IDA),2,5000000.0,2500000.0,39.3,0,0.0,26.282744282744282,13.017255717255715,40.0,IDA average risk (39.3) is significantly higher than state baseline (26.3).
Rajasthan,BARMER(DISTRICT COLLECTOR BARMER_IDA),45,23100765.0,513350.3333333333,30.442222222222224,9,20.0,26.282744282744282,4.1594779394779415,35.0,High concentration of flagged projects (20.0% critical/high risk).
Rajasthan,BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA),34,15378620.0,452312.35294117645,32.370588235294115,0,0.0,26.282744282744282,6.087843952549832,40.0,District and IDA parameters match regional baseline standards.
Rajasthan,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),41,20642759.0,503481.9268292683,22.97073170731707,0,0.0,26.282744282744282,-3.312012575427211,20.0,District and IDA parameters match regional baseline standards.
Rajasthan,BIKANER(DISTRICT COLLECTOR BIKANER_IDA),31,37658362.0,1214785.8709677418,34.26451612903226,0,0.0,26.282744282744282,7.981771846287977,40.0,District and IDA parameters match regional baseline standards.
Rajasthan,BUNDI(DISTRICT COLLECTOR BUNDI_IDA),14,8398758.0,599911.2857142857,33.56428571428571,0,0.0,26.282744282744282,7.281541431541427,40.0,District and IDA parameters match regional baseline standards.
