work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,duplicate_similarity_score,similar_work_id,is_duplicate_flag,mp_allocated_limit,mp_total_sanctioned,mp_utilization_pct,work_status,anomaly_label,anomaly_score,risk_score,risk_level,shap_top_attribution,anomaly_reason
WS/MP18271/2025-2026/167573-Construction of community centers and community halls,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Repair and Renovation,Construction for Strengthening and retrofitting structural works including other allied works of Cooch Behar Bhawan 2nd Floor at Ward No.31 of Bidhannagar Municipality Sector 1 Bidhannagar Kolkata West Bengal 700064,2025-01-21,2025-08-22,5000000.0,213,0.8887,WS/MP18271/2025-2026/196965-Construction of community centers and community halls,True,168604641.11,42035060.0,24.93,Vendor Identification,-1,-0.1274653668255329,70.7,High,work_category_Normal/Others (-1.7297),"High text similarity (88.9%) with work 'WS/MP18271/2025-2026/196965-Construction of community centers and community halls' under the same MP (Potential duplicate recommendation / split billing). | Sanction amount (₹ 5,000,000) is 10.0x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP827/2025-2026/152382-Construction of community centers and community halls,West Bengal,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),Shatrughan Sinha,ASANSOL,Normal/Others,Construction of New Community Hall.,2024-11-14,2026-02-06,6000000.0,449,1.0,WS/MP827/2024-2025/152965-Construction of community centers and community halls,True,147000000.0,58855068.0,40.04,Sanction,-1,-0.1235164341630931,70.3,High,amount_vs_state_median (-1.2194),"High text similarity (100.0%) with work 'WS/MP827/2024-2025/152965-Construction of community centers and community halls' under the same MP (Potential duplicate recommendation / split billing). | Sanction amount (₹ 6,000,000) is 20.0x higher than the typical amount for work category 'Normal/Others'. | Severe sanction delay of 449 days (> 1 year) between recommendation and approval."
