work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons,geographic_score,agency_score,v2_composite_score,geo_contrib,agency_contrib,real_weighted_sum,real_max_signal,real_composite_risk_score,final_composite_risk_score,unified_explanation
WS/MP740/2026-2027/140341-Construction of community centers and community halls,Tamil Nadu,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),Andimuthu Raja,NILGIRIS(SC),Normal/Others,Construction of Anganvadi Building at Weekly Market area Ward No 15 at Punjai Puliampatti Town,2024-09-11,2026-05-15,1400000.0,611,Physical Inspection,36.8,15.0,100.0,0.0,15.0,11.04,2.25,15.0,0.0,1.5,34.22,100.0,71.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 611 days.,20.0,45.0,73.7,2.0,4.5,36.29,100.0,71.3,71.3,Recommendation-to-sanction approval delay of 611 days.
WS/MP18031/2024-2025/143566-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143490-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five for lacs each school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP579/2026-2027/192855-Installing tube-wells and borewells,Gujarat,ANAND(District Collector ANAND_IDA),Mitesh Rameshbhai Bakabhai Patel,ANAND,Normal/Others,Kashi Vishwanath Mahadev Vistarma Pani Ni Tanki tatha Bor Machine Kam,2025-04-26,2026-05-20,134800.0,389,Sanction,33.6,15.0,100.0,0.0,15.0,10.08,2.25,15.0,0.0,1.5,32.94,100.0,71.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 389 days.,30.0,45.0,73.2,3.0,4.5,36.33,100.0,71.3,71.3,Recommendation-to-sanction approval delay of 389 days.
WS/MP719/2026-2027/187644-Construction of community centers and community halls,Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),Bhagirath Chaudhary,AJMER,Normal/Others,Public Tin shed Near Basak Baba Dham  Village Rampura Gram panchayat Loharwara,2025-03-28,2026-08-11,500000.0,501,Vendor Identification,39.9,15.0,100.0,0.0,15.0,11.97,2.25,15.0,0.0,1.5,35.46,100.0,71.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 501 days.,40.0,15.0,74.2,4.0,1.5,36.22,100.0,71.3,71.3,Recommendation-to-sanction approval delay of 501 days.
WS/MP18031/2024-2025/143491-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five for lacs each school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143564-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP18031/2024-2025/143573-Purchase of books and periodicals for libraries/digitization of library books,Bihar,GAYA(DISTRICT PLANNING OFFICER GAYA_IDA),ABHAY KUMAR SINHA,AURANGABAD_BR,Normal/Others,purchase of books for school library. sanction of five lacs for every school,2024-09-25,2025-01-15,499385.0,112,Physical Inspection,9.1,15.0,45.0,100.0,15.0,2.73,2.25,6.75,10.0,1.5,29.89,100.0,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,45.0,72.0,8.5,4.5,36.230000000000004,100.0,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
WS/MP251/2025-2026/150785-Construction of buildings for multi-gym,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Prof Sougata Ray,DUM DUM,Normal/Others,"Construction of indoor multigym at chuni pool under ward no 11, SDDM",2024-12-24,2025-10-13,1200000.0,293,Work partially Completed,35.9,15.0,75.0,0.0,15.0,10.77,2.25,11.25,0.0,1.5,30.11,75.0,71.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 293 days.,95.0,70.0,57.0,9.5,7.0,42.269999999999996,95.0,71.3,71.3,Recommendation-to-sanction approval delay of 293 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18045/2025-2026/198074-Lighting of public spaces,Bihar,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),VIJAYLAKSHMI DEVI,SIWAN,Normal/Others,High Mask Light,2025-05-09,2025-07-31,958000.0,83,Physical Inspection,10.5,15.0,15.0,100.00000000000004,15.0,3.15,2.25,2.25,10.0,1.5,25.95,100.00000000000004,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,70.4,8.5,8.5,36.15,100.00000000000004,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP761/2024-2025/146749-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Arvind Dharmapuri,NIZAMABAD,Normal/Others,"Construction of Community hall Munnurukapu wada,",2024-10-11,2024-10-19,300000.0,8,Work Completed,25.5,15.0,15.0,100.00000000000004,15.0,7.65,2.25,2.25,10.0,1.5,31.95,100.00000000000004,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,80.0,45.0,72.8,8.0,4.5,36.15,100.00000000000004,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration.
"WS/MP568/2025-2026/183914-Construction of roads, link roads, pathways or any other road with or without drainage system",Chhattisgarh,DURG(DISTRICT COLLECTOR DURG_IDA),Vijay Baghel,DURG,Normal/Others,CC Road nirman,2025-03-19,2025-05-29,1200000.0,71,Physical Inspection,15.7,15.0,15.0,100.00000000000004,15.0,4.71,2.25,2.25,10.0,1.5,28.03,100.00000000000004,71.3,High,🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,71.2,8.5,7.0,36.21,100.00000000000004,71.3,71.3,Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
