work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons,geographic_score,agency_score,v2_composite_score,geo_contrib,agency_contrib,real_weighted_sum,real_max_signal,real_composite_risk_score,final_composite_risk_score,unified_explanation
WS/MP827/2025-2026/152382-Construction of community centers and community halls,West Bengal,PASCHIM BARDHAMAN(DISTRICT MAGISTRATE PASCHIM BARDHAMAN_IDA),Shatrughan Sinha,ASANSOL,Normal/Others,Construction of New Community Hall.,2024-11-14,2026-02-06,6000000.0,449,Sanction,87.4,15.0,100.0,100.0,15.0,26.22,2.25,15.0,10.0,1.5,69.46000000000001,100.0,84.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 449 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,55.0,45.0,87.8,5.5,4.5,64.97,100.0,84.2,84.2,Recommendation-to-sanction approval delay of 449 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification.
WS/MP18086/2026-2027/171271-Construction of community centers and community halls,Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),SHREYAS. M. PATEL,HASSAN,Repair and Renovation,SAARVAJANIKA SAMUDAYA BHAVANA DEVELOPMENT WORK AT KADUR TALUK HIRENALLURU GRAMA PANCHAYATH  HIRENALLURU VILLAGE 2024-25,2025-02-03,2026-05-16,1000000.0,467,Work partially Completed,71.6,15.0,100.0,100.00000000000009,15.0,21.48,2.25,15.0,10.0,1.5,63.14,100.00000000000009,83.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 467 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,70.0,70.0,85.3,7.0,7.0,64.23,100.00000000000009,83.9,83.9,Recommendation-to-sanction approval delay of 467 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18271/2025-2026/167573-Construction of community centers and community halls,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Repair and Renovation,Construction for Strengthening and retrofitting structural works including other allied works of Cooch Behar Bhawan 2nd Floor at Ward No.31 of Bidhannagar Municipality Sector 1 Bidhannagar Kolkata West Bengal 700064,2025-01-21,2025-08-22,5000000.0,213,Vendor Identification,88.9,15.0,75.0,91.80422750285058,15.0,26.67,2.25,11.25,9.1804,1.5,65.0806,91.80422750285058,82.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 213 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 91.8%). Requires human verification. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,95.0,70.0,81.1,9.5,7.0,67.35040000000001,95.0,82.6,82.6,Recommendation-to-sanction approval delay of 213 days. | Potentially duplicate work candidate detected (Similarity: 91.8%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP243/2025-2026/141110-Construction of rooms and halls in school and colleges,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,2 storied building for skill development centre,2024-09-15,2025-11-25,11000000.0,436,Work partially Completed,85.4,15.0,100.0,0.0,15.0,25.62,2.25,15.0,0.0,1.5,53.66,100.0,82.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 436 days. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,95.0,70.0,81.5,9.5,7.0,60.870000000000005,100.0,82.4,82.4,Recommendation-to-sanction approval delay of 436 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18124/2025-2026/161223-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,Normal/Others,"Construction of  pathways or any other road with drainage system, concreting",2025-01-17,2026-02-16,2500000.0,395,Vendor Identification,41.0,15.0,100.0,100.00000000000004,15.0,12.3,2.25,15.0,10.0,1.5,50.9,100.00000000000004,81.6,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 395 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,80.4,9.5,8.5,59.05,100.00000000000004,81.6,81.6,Recommendation-to-sanction approval delay of 395 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18308/2025-2026/145410-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,Repair and Renovation,"Construction of Road at Umedbhai Patel High School to CDEFRN Unit, Sunder Nagar, Malad (W)",2024-10-04,2026-01-20,2000000.0,473,Vendor Identification,73.7,15.0,100.0,0.0,15.0,22.11,2.25,15.0,0.0,1.5,48.98,100.0,81.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 473 days.,95.0,85.0,79.6,9.5,8.5,58.86,100.0,81.5,81.5,Recommendation-to-sanction approval delay of 473 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18307/2025-2026/180068-Construction of public toilets and bathrooms,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Repair and Renovation,"Renovation of public toilet, installation of solar lights and beautification of the garden",2025-03-07,2026-03-25,2500000.0,383,Sanction,73.6,15.0,100.0,0.0,15.0,22.08,2.25,15.0,0.0,1.5,48.94,100.0,81.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 383 days.,95.0,85.0,79.6,9.5,8.5,58.83,100.0,81.5,81.5,Recommendation-to-sanction approval delay of 383 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18120/2025-2026/169210-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,NANDED(DISTRICT COLLECTOR NANDED_IDA),AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,Normal/Others,CC Road And Drainage at Ashti Tq. Hadgaon Dist Nanded.,2025-01-27,2026-02-20,4974167.0,389,Physical Inspection,47.1,15.0,100.0,100.0,15.0,14.13,2.25,15.0,10.0,1.5,53.34,100.0,81.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 389 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,81.3,8.5,7.0,58.38,100.0,81.3,81.3,Recommendation-to-sanction approval delay of 389 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18120/2025-2026/169208-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,NANDED(DISTRICT COLLECTOR NANDED_IDA),AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,Normal/Others,CC Road And Drainage at Ashti Tq. Hadgaon Dist Nanded.,2025-01-27,2026-02-20,4978547.0,389,Physical Inspection,47.1,15.0,100.0,100.0,15.0,14.13,2.25,15.0,10.0,1.5,53.34,100.0,81.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 389 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,81.3,8.5,7.0,58.38,100.0,81.3,81.3,Recommendation-to-sanction approval delay of 389 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP352/2025-2026/138758-Construction of public libraries and reading rooms,Kerala,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),Shri Hibi Eden,ERNAKULAM,Trust and Society,"Construction of Building for Eroor Grameena Vayanashala at Ward 48, Tripunithura Muncipality",2024-09-04,2026-01-07,5000000.0,490,Sanction,100.0,15.0,100.0,0.0,15.0,30.0,2.25,15.0,0.0,1.5,59.5,100.0,81.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 490 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,45.0,45.0,83.8,4.5,4.5,57.75,100.0,81.0,81.0,Recommendation-to-sanction approval delay of 490 days.
WS/MP18309/2026-2027/155237-Construction of footpaths and pedestrian ways,Meghalaya,SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA),SALENG A SANGMA,TURA,Normal/Others,Construction of footpaths (earth work),2024-11-26,2026-04-14,200000.0,504,Work partially Completed,44.3,15.0,100.0,100.00000000000004,15.0,13.29,2.25,15.0,10.0,1.5,52.22,100.00000000000004,80.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 504 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,80.9,8.5,7.0,57.54,100.00000000000004,80.9,80.9,Recommendation-to-sanction approval delay of 504 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18307/2025-2026/180167-Construction of footpaths and pedestrian ways,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Normal/Others,Beautification of the surroundings and construction of paver blocks,2025-03-07,2026-03-25,1500000.0,383,Sanction,33.3,15.0,100.0,100.00000000000004,15.0,9.99,2.25,15.0,10.0,1.5,47.82,100.00000000000004,80.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 383 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,79.1,9.5,8.5,56.74,100.00000000000004,80.5,80.5,Recommendation-to-sanction approval delay of 383 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18307/2025-2026/180163-Construction of public toilets and bathrooms,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Normal/Others,Repairing of public toilet and construction of paver blocks,2025-03-07,2026-03-25,1500000.0,383,Sanction,33.3,15.0,100.0,100.00000000000004,15.0,9.99,2.25,15.0,10.0,1.5,47.82,100.00000000000004,80.5,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 383 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,79.1,9.5,8.5,56.74,100.00000000000004,80.5,80.5,Recommendation-to-sanction approval delay of 383 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18086/2025-2026/171273-Construction of community centers and community halls,Karnataka,CHIKKAMAGALURU(DEPUTY COMMISSIONER CHIKMAGALUR),SHREYAS. M. PATEL,HASSAN,Repair and Renovation,SAARVAJANIKA SAMUDAYA BHAVANA DEVELOPMENT WORK AT KADUR TALUK HIRENALLURU GRAMA PANCHAYATH HIRENALLURU VILLAGE 2024-25,2025-02-03,2026-01-30,1000000.0,361,Physical Inspection,58.2,15.0,75.0,100.00000000000009,15.0,17.46,2.25,11.25,10.0,1.5,54.03,100.00000000000009,80.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 361 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,70.0,70.0,81.6,7.0,7.0,56.46,100.00000000000009,80.4,80.4,Recommendation-to-sanction approval delay of 361 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP431/2026-2027/149155-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),Rao Inderjit Singh,GURGAON,Trust and Society,"Completion of 3rd Floor Construction, Yadav Dharmshala, and Installation of Rooftop Solar Power Plant",2024-10-23,2026-05-21,1499787.0,575,Sanction,94.9,15.0,100.0,0.0,15.0,28.47,2.25,15.0,0.0,1.5,57.46,100.0,80.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 575 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,45.0,45.0,83.0,4.5,4.5,56.22,100.0,80.3,80.3,Recommendation-to-sanction approval delay of 575 days.
WS/MP18114/2025-2026/157438-Construction of community centers and community halls,Maharashtra,BEED(DISTRICT COLLECTOR BEED_IDA),BAJRANG MANOHAR SONWANE,BEED,Normal/Others,Construction of Sabhamandap on Gram Panchayat land.,2024-12-09,2026-03-27,1000000.0,473,Work Completed,34.6,15.0,100.0,100.0,15.0,10.38,2.25,15.0,10.0,1.5,48.34,100.0,80.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 473 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,79.3,8.5,8.5,56.13,100.0,80.3,80.3,Recommendation-to-sanction approval delay of 473 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18114/2025-2026/157481-Construction of community centers and community halls,Maharashtra,BEED(DISTRICT COLLECTOR BEED_IDA),BAJRANG MANOHAR SONWANE,BEED,Normal/Others,Construction of Sabhamandap on Gram Panchayat land.,2024-12-09,2026-03-27,1000000.0,473,Work Completed,34.6,15.0,100.0,100.0,15.0,10.38,2.25,15.0,10.0,1.5,48.34,100.0,80.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 473 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,79.3,8.5,8.5,56.13,100.0,80.3,80.3,Recommendation-to-sanction approval delay of 473 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18114/2025-2026/157492-Construction of community centers and community halls,Maharashtra,BEED(DISTRICT COLLECTOR BEED_IDA),BAJRANG MANOHAR SONWANE,BEED,Normal/Others,Construction of Sabhamandap on Gram Panchayat land near Sri Kshetra Ganpati Temple.,2024-12-09,2026-03-27,1000000.0,473,Work Completed,34.6,15.0,100.0,100.0,15.0,10.38,2.25,15.0,10.0,1.5,48.34,100.0,80.3,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 473 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,79.3,8.5,8.5,56.13,100.0,80.3,80.3,Recommendation-to-sanction approval delay of 473 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18309/2025-2026/155238-Construction of footpaths and pedestrian ways,Meghalaya,SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA),SALENG A SANGMA,TURA,Normal/Others,Construction of footpaths (earth work),2024-11-26,2025-12-17,200000.0,386,Work partially Completed,39.3,15.0,100.0,100.00000000000004,15.0,11.79,2.25,15.0,10.0,1.5,50.22,100.00000000000004,80.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 386 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,80.1,8.5,7.0,56.04,100.00000000000004,80.2,80.2,Recommendation-to-sanction approval delay of 386 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18309/2025-2026/155236-Construction of footpaths and pedestrian ways,Meghalaya,SOUTH GARO HILLS(DEPUTY COMMISSIONER BAGHMARA_IDA),SALENG A SANGMA,TURA,Normal/Others,Construction of footpaths (earth work),2024-11-26,2025-12-17,200000.0,386,Work partially Completed,39.3,15.0,100.0,100.00000000000004,15.0,11.79,2.25,15.0,10.0,1.5,50.22,100.00000000000004,80.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 386 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,80.1,8.5,7.0,56.04,100.00000000000004,80.2,80.2,Recommendation-to-sanction approval delay of 386 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18062/2026-2027/156120-Construction of community centers and community halls,Haryana,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,Trust and Society,CONST. WORKS IN GURU DAKSH PARJAPATI DHARAMSALA NARNAUND,2024-11-30,2026-07-06,499708.0,583,Vendor Identification,93.3,15.0,100.0,0.0,15.0,27.99,2.25,15.0,0.0,1.5,56.82,100.0,80.1,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 583 days. | 🟠 Category signal: Special entity category 'Trust and Society'. | 🔴 Anomaly signal: Overall statistical outlier pattern detected by Isolation Forest.,45.0,45.0,82.7,4.5,4.5,55.739999999999995,100.0,80.1,80.1,Recommendation-to-sanction approval delay of 583 days.
WS/MP18250/2026-2027/139022-Construction of water tanks,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),SK NURUL ISLAM,BASIRHAT,Normal/Others,"Installation of 14 nos. Arsenic Free Water Tank, Street Light, etc at different places under Hingalganj Block (SL.No. 19 to 32)",2024-09-05,2026-07-08,2765000.0,671,Sanction,58.0,15.0,100.0,0.0,45.0,17.4,2.25,15.0,0.0,4.5,47.2,100.0,80.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 671 days.,95.0,70.0,78.9,9.5,7.0,55.65,100.0,80.0,80.0,Recommendation-to-sanction approval delay of 671 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18250/2025-2026/142039-Construction of water tanks,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),SK NURUL ISLAM,BASIRHAT,Normal/Others,Installation of 3nos. Eletric based water tank and street solar light under Srinagar Matia G.P & Basirhat II Panchayat Samity. (Sl No.-5 to 7),2024-09-20,2026-02-27,2660000.0,525,Vendor Identification,56.9,15.0,100.0,0.0,45.0,17.07,2.25,15.0,0.0,4.5,46.760000000000005,100.0,79.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 525 days.,95.0,70.0,78.7,9.5,7.0,55.32,100.0,79.9,79.9,Recommendation-to-sanction approval delay of 525 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/  MP644/2025-2026/174740-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,REWA(DISTRICT COLLECTOR REWA_IDA),Janardan Mishra,REWA,Normal/Others,Construction of Grewal Road,2025-02-10,2025-12-24,2444000.0,317,Vendor Identification,49.5,15.0,75.0,100.0,15.0,14.85,2.25,11.25,10.0,1.5,50.55,100.0,79.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 317 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,70.0,80.2,8.5,7.0,55.35,100.0,79.9,79.9,Recommendation-to-sanction approval delay of 317 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18307/2025-2026/180170-Construction of public toilets and bathrooms,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Normal/Others,Repairing of public toilet and construction of paver blocks,2025-03-07,2026-01-19,2500000.0,318,Vendor Identification,41.2,15.0,75.0,100.00000000000004,15.0,12.36,2.25,11.25,10.0,1.5,47.23,100.00000000000004,79.9,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 318 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,78.9,9.5,8.5,55.36,100.00000000000004,79.9,79.9,Recommendation-to-sanction approval delay of 318 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP391/2025-2026/146422-Construction of buildings for sports facilities,Tamil Nadu,CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA),Thiru Dayanidhi Maran,CHENNAI CENTRAL,Normal/Others,"CONSTRUCTION OF BOXING ACADEMY BUILDING IN GOPALAPURAM WARD 111, PART 25, ZONE 9 OF CHENNAI CENTRAL CONSITUENCY",2024-10-09,2025-12-06,10000000.0,423,Work Completed,69.9,15.0,100.0,0.0,15.0,20.97,2.25,15.0,0.0,1.5,47.46,100.0,79.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 423 days.,85.0,70.0,79.0,8.5,7.0,55.22,100.0,79.8,79.8,Recommendation-to-sanction approval delay of 423 days. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18124/2025-2026/162328-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,Normal/Others,"Construction of pathways, concreting with drainage",2025-01-17,2025-07-23,2500000.0,187,Vendor Identification,40.3,15.0,75.0,100.00000000000004,15.0,12.09,2.25,11.25,10.0,1.5,46.870000000000005,100.00000000000004,79.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 187 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,78.7,9.5,8.5,55.09,100.00000000000004,79.8,79.8,Recommendation-to-sanction approval delay of 187 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18124/2025-2026/162371-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,Normal/Others,Construction of pathways with drainage,2025-01-17,2025-07-23,2500000.0,187,Vendor Identification,40.3,15.0,75.0,100.00000000000004,15.0,12.09,2.25,11.25,10.0,1.5,46.870000000000005,100.00000000000004,79.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 187 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,78.7,9.5,8.5,55.09,100.00000000000004,79.8,79.8,Recommendation-to-sanction approval delay of 187 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18307/2025-2026/180166-Construction of footpaths and pedestrian ways,Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),Piyush Vedprakash Goyal,MUMBAI NORTH,Normal/Others,Beautification of the surroundings and construction of paver blocks,2025-03-07,2026-03-25,1000000.0,383,Sanction,28.0,15.0,100.0,100.00000000000004,15.0,8.4,2.25,15.0,10.0,1.5,45.7,100.00000000000004,79.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 383 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,78.3,9.5,8.5,55.15,100.00000000000004,79.8,79.8,Recommendation-to-sanction approval delay of 383 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
WS/MP18114/2025-2026/157436-Construction of community centers and community halls,Maharashtra,BEED(DISTRICT COLLECTOR BEED_IDA),BAJRANG MANOHAR SONWANE,BEED,Normal/Others,Construction of Sabhamandap on Gram Panchayat land near Sri Kshetra Mahadev Temple.,2024-12-09,2025-12-15,900000.0,371,Work Completed,31.1,15.0,100.0,100.0,15.0,9.33,2.25,15.0,10.0,1.5,46.94,100.0,79.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 371 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,85.0,85.0,78.8,8.5,8.5,55.08,100.0,79.8,79.8,Recommendation-to-sanction approval delay of 371 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
"WS/MP18124/2025-2026/162363-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA),GAIKWAD VARSHA EKNATH,MUMBAI NORTH-CENTRAL,Normal/Others,construction of pathways with drainage,2025-01-17,2025-09-17,2500000.0,243,Vendor Identification,40.0,15.0,75.0,100.00000000000004,15.0,12.0,2.25,11.25,10.0,1.5,46.75,100.00000000000004,79.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 243 days. | 🟠 Duplicate check: Potential duplicate work detected (Similarity: 100.0%). Requires human verification.,95.0,85.0,78.7,9.5,8.5,55.0,100.00000000000004,79.8,79.8,Recommendation-to-sanction approval delay of 243 days. | Potentially duplicate work candidate detected (Similarity: 100.0%). Requires human verification. | Project located in an Implementing Authority (IDA) displaying elevated risk concentration. | High degree centrality and project volume concentration in agency network graph.
