node_id,label,type,work_count,total_amount,avg_risk,critical_count,degree_centrality,agency_network_score
"IDA:Ranipet(District Collector, Ranipet_2)","Ranipet(District Collector, Ranipet_2)",IDA,25,25162408.0,56.9,11,0.0006,70.0
IDA:Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA),Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA),IDA,15,12800000.0,55.5,7,0.0006,70.0
IDA:Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA),Khandwa (East Nimar)(DISTRICT COLLECTOR EAST NIMAR_IDA),IDA,86,26115367.0,59.2,57,0.0012,70.0
IDA:CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),CHANDRAPUR(DISTRICT COLLECTOR CHANDRAPUR_IDA),IDA,15,19500000.0,66.7,11,0.0012,70.0
IDA:KODAGU(Deputy Commsioner Kodagu_ida),KODAGU(Deputy Commsioner Kodagu_ida),IDA,13,6600000.0,64.0,6,0.0006,70.0
IDA:COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA),COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA),IDA,28,52737214.0,54.0,10,0.0018,70.0
IDA:SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA),SHIVAMOGGA(DEPUTY COMMISSIONER SHIMOGA_IDA),IDA,100,41633943.0,58.8,28,0.0006,70.0
IDA:BEMETARA(Collector Bemetara_IDA),BEMETARA(Collector Bemetara_IDA),IDA,11,6510837.0,67.2,10,0.0006,70.0
IDA:KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA),KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA),IDA,54,17294132.8,60.3,20,0.0018,70.0
IDA:ALIRAJPUR(District Collector Alirajpur_IDA),ALIRAJPUR(District Collector Alirajpur_IDA),IDA,40,14067571.0,53.1,7,0.0006,70.0
IDA:PATHANKOT(DEPUTY COMMISSIONER PATHANKOT_IDA),PATHANKOT(DEPUTY COMMISSIONER PATHANKOT_IDA),IDA,47,8039578.0,66.2,41,0.0006,70.0
IDA:GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA),IDA,59,32707108.0,51.0,30,0.0006,70.0
IDA:GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),GOPALGANJ(DISTRICT PLANNING OFFICER GOPALGANJ_IDA),IDA,38,39245507.0,66.6,27,0.0006,70.0
IDA:SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA),SUPAUL(DISTRICT PLANNING OFFICER SUPAUL_IDA),IDA,43,56701336.0,67.2,34,0.0006,70.0
IDA:TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),IDA,64,58649055.0,56.2,15,0.0031,70.0
