work_id_1,work_id_2,mp_name,constituency,state,description_1,description_2,similarity_score,sanction_amount_1,sanction_amount_2,sanction_date_1,sanction_date_2,days_difference,potential_split_work,audit_alert
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183235-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183236-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183237-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183238-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183239-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183217-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183215-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183241-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183202-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183192-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183193-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183194-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183195-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183196-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183197-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183198-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183199-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183200-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
WS/MP18149/2025-2026/182981-Street lights,WS/MP18149/2025-2026/183201-Street lights,SAMBIT PATRA,PURI,Odisha,Installation of Solar Light at Creamation Ground.,Installation of Solar Light at Creamation Ground.,1.0,40000.0,40000.0,2025-05-19,2025-09-02,106,False,Potentially Similar Work — Requires Human Verification
