work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,duplicate_similarity_score,similar_work_id,is_duplicate_flag,mp_allocated_limit,mp_total_sanctioned,mp_utilization_pct,work_status,anomaly_label,anomaly_score,risk_score,risk_level,shap_top_attribution,anomaly_reason
WS/MP243/2025-2026/196956-Providing drains and gutters for public drainage,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Masonry Pucca drain,2025-05-05,2025-12-24,599611.0,233,1.0,WS/MP243/2025-2026/196957-Providing drains and gutters for public drainage,True,147000000.0,63148245.0,42.96,Vendor Identification,1,0.030047943098361174,43.7,Medium,state_West Bengal (-1.1055),High text similarity (100.0%) with work 'WS/MP243/2025-2026/196957-Providing drains and gutters for public drainage' under the same MP (Potential duplicate recommendation / split billing).
WS/MP243/2025-2026/196957-Providing drains and gutters for public drainage,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,Normal/Others,Masonry Pucca drain,2025-05-05,2025-12-24,843897.0,233,1.0,WS/MP243/2025-2026/196956-Providing drains and gutters for public drainage,True,147000000.0,63148245.0,42.96,Vendor Identification,1,0.028602839006025893,44.0,Medium,state_West Bengal (-1.1043),"High text similarity (100.0%) with work 'WS/MP243/2025-2026/196956-Providing drains and gutters for public drainage' under the same MP (Potential duplicate recommendation / split billing). | Sanction amount (₹ 843,897) is 2.8x higher than the typical amount for work category 'Normal/Others'."
WS/MP18271/2025-2026/196965-Construction of community centers and community halls,West Bengal,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),JAGADISH CHANDRA BARMA BASUNIA,COOCHBEHAR(SC),Repair and Renovation,Construction for Strengthening and retrofitting structural works including other allied works of Cooch Behar Bhawan 3rd Floor at Ward No.31 of Bidhannagar Municipality Sector 1 Bidhannagar Kolkata West Bengal 700064,2025-05-05,2025-10-09,5000000.0,157,0.8887,WS/MP18271/2025-2026/167573-Construction of community centers and community halls,True,168604641.11,42035060.0,24.93,Physical Inspection,-1,-0.0987980293407581,65.7,Medium,work_category_Normal/Others (-1.8366),"High text similarity (88.9%) with work 'WS/MP18271/2025-2026/167573-Construction of community centers and community halls' under the same MP (Potential duplicate recommendation / split billing). | Sanction amount (₹ 5,000,000) is 10.0x higher than the typical amount for work category 'Repair and Renovation'."
WS/MP18051/2025-2026/196980-Construction of culverts and bridges,Chhattisgarh,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),ROOP KUMARI CHOUDHARY,MAHASAMUND,Normal/Others,PULIYA NIRMAN KARYA,2025-05-06,2025-06-23,500000.0,48,1.0,WS/MP18051/2025-2026/196981-Construction of culverts and bridges,True,153035414.0,44613836.0,29.15,Work partially Completed,1,0.027955386045295627,44.1,Medium,state_Chhattisgarh (-1.4265),High text similarity (100.0%) with work 'WS/MP18051/2025-2026/196981-Construction of culverts and bridges' under the same MP (Potential duplicate recommendation / split billing).
WS/MP18051/2025-2026/196981-Construction of culverts and bridges,Chhattisgarh,MAHASAMUND(DISTRICT COLLECTOR MAHASAMUND_IDA),ROOP KUMARI CHOUDHARY,MAHASAMUND,Normal/Others,PULIYA NIRMAN KARYA,2025-05-06,2025-06-23,500000.0,48,1.0,WS/MP18051/2025-2026/196980-Construction of culverts and bridges,True,153035414.0,44613836.0,29.15,Work partially Completed,1,0.027955386045295627,44.1,Medium,state_Chhattisgarh (-1.4265),High text similarity (100.0%) with work 'WS/MP18051/2025-2026/196980-Construction of culverts and bridges' under the same MP (Potential duplicate recommendation / split billing).
WS/MP18155/2025-2026/196984-Providing drains and gutters for public drainage,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Normal/Others,Construction of Water Tank for Disposal of Sullage Water,2025-05-07,2025-05-28,74177.0,21,1.0,WS/MP18155/2025-2026/196985-Providing drains and gutters for public drainage,True,147000000.0,33517653.0,22.8,Physical Inspection,1,0.06924712976287145,36.9,Low,state_Punjab (-1.3828),High text similarity (100.0%) with work 'WS/MP18155/2025-2026/196985-Providing drains and gutters for public drainage' under the same MP (Potential duplicate recommendation / split billing).
WS/MP18155/2025-2026/196985-Providing drains and gutters for public drainage,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Normal/Others,Construction of Water Tank for Disposal of Sullage Water,2025-05-07,2025-05-28,73035.0,21,1.0,WS/MP18155/2025-2026/196984-Providing drains and gutters for public drainage,True,147000000.0,33517653.0,22.8,Physical Inspection,1,0.06924712976287145,36.9,Low,state_Punjab (-1.3828),High text similarity (100.0%) with work 'WS/MP18155/2025-2026/196984-Providing drains and gutters for public drainage' under the same MP (Potential duplicate recommendation / split billing).
WS/MP18328/2025-2026/196987-Construction of culverts and bridges,Himachal Pradesh,MANDI(DEPUTY COMMISSIONER MANDI_IDA),Kangana Ranaut,MANDI,Normal/Others,Construction of Bridge at Village Kaholi at Jahon Khadd in GP Kalashan. Work Executive Agency-BDO Churag,2025-05-06,2025-06-09,800000.0,34,0.1248,WS/MP18328/2024-2025/148186-Construction of culverts and bridges,False,147000000.0,28182084.0,19.17,Vendor Identification,1,0.02061514189143504,19.1,Low,state_Himachal Pradesh (-2.3599),"Sanction amount (₹ 800,000) is 2.7x higher than the typical amount for work category 'Normal/Others'."
"WS/  MP005/2025-2026/196991-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paver Block Work at Ambavadi Vistar Sureshbhai Bhaijibhai Faliya Area,2025-05-06,2025-07-10,98596.0,65,0.1552,"WS/  MP005/2025-2026/175161-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Physical Inspection,1,0.07625100017496739,10.4,Low,state_Gujarat (-1.1139),Standard project parameters within normal baseline limits.
"WS/  MP005/2025-2026/196992-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,KHEDA(DISTRICT COLLECTOR KHEDA_IDA),Devusinh Jesingbhai Chauhan,KHEDA,Normal/Others,Construction of Paver Block Work at Gadva Gothaj asphalt Road towards Balabhai Raojibhai House,2025-05-06,2025-07-10,98596.0,65,0.2882,"WS/  MP005/2025-2026/196993-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,34676131.0,23.59,Physical Inspection,1,0.07625100017496739,14.4,Low,state_Gujarat (-1.1139),Standard project parameters within normal baseline limits.
