work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,duplicate_similarity_score,similar_work_id,is_duplicate_flag,mp_allocated_limit,mp_total_sanctioned,mp_utilization_pct,work_status,anomaly_label,anomaly_score,risk_score,risk_level,shap_top_attribution,anomaly_reason
WS/  MP620/2024-2025/133166-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,2024-07-09,497185.0,1,0.1179,WS/  MP620/2026-2027/183996-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.056003821091406614,12.8,Low,state_Karnataka (-1.6487),Standard project parameters within normal baseline limits.
WS/  MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,2025-09-18,500000.0,437,0.0791,WS/  MP620/2024-2025/133309-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Sanction,-1,-0.08196159469639075,42.0,Medium,work_category_Normal/Others (-1.9202),Work belongs to special category 'Trust and Society' requiring heightened compliance verification. | Severe sanction delay of 437 days (> 1 year) between recommendation and approval.
WS/  MP620/2024-2025/133190-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,2024-07-08,2024-09-23,450000.0,77,0.1005,WS/  MP620/2024-2025/167956-Construction of community centers and community halls,False,147000000.0,13261770.0,9.02,Sanction,-1,-0.037966859862288704,35.0,Low,work_category_Normal/Others (-2.037),Work belongs to special category 'Trust and Society' requiring heightened compliance verification.
WS/  MP620/2025-2026/133191-Construction of buildings for community cultural activities,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,2025-05-29,1500000.0,325,0.0795,WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Work partially Completed,-1,-0.006720418947017026,22.5,Low,state_Karnataka (-1.5877),"Sanction amount (₹ 1,500,000) is 5.0x higher than the typical amount for work category 'Normal/Others'. | Sanction delay (325 days) is 3.1x higher than the typical approval time for authority 'HAVERI(DEPUTY COMMISSIONER HAVERI_IDA)'."
WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",2024-07-09,2024-08-22,398009.0,44,0.1144,WS/  MP620/2025-2026/167939-Construction of community centers and community halls,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05922692866673174,12.1,Low,state_Karnataka (-1.667),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,2024-07-09,2024-07-25,399104.0,16,0.4451,WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05823238501653161,22.2,Low,state_Karnataka (-1.6471),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133304-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,2024-08-22,396154.0,44,0.148,WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05922692866673174,13.1,Low,state_Karnataka (-1.667),Standard project parameters within normal baseline limits.
WS/  MP620/2025-2026/133305-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,2024-07-09,2025-06-03,400000.0,329,0.1115,WS/  MP620/2024-2025/133166-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Sanction,1,0.015958898468166005,19.5,Low,state_Karnataka (-1.6018),Sanction delay (329 days) is 5.1x higher than the typical approval time for authority 'DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)'.
WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,2025-03-14,495627.0,248,0.4451,WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.045928972403077084,24.3,Low,state_Karnataka (-1.6849),Sanction delay (248 days) is 3.9x higher than the typical approval time for authority 'DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)'.
WS/  MP620/2024-2025/133307-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,2024-08-17,398955.0,39,0.148,WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05800741315002916,13.3,Low,state_Karnataka (-1.6717),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133308-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,2024-07-09,2024-08-17,399304.0,39,0.4451,WS/  MP620/2024-2025/133312-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.05800741315002916,22.2,Low,state_Karnataka (-1.6717),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133309-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,2024-07-09,2025-03-14,495031.0,248,0.1869,WS/  MP620/2024-2025/144765-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.04618616895740635,16.5,Low,state_Karnataka (-1.6809),Sanction delay (248 days) is 3.9x higher than the typical approval time for authority 'DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)'.
WS/  MP620/2024-2025/133310-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,2024-07-09,2024-08-22,247583.0,44,0.1616,WS/  MP620/2024-2025/133311-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.061375406276136524,13.2,Low,state_Karnataka (-1.6682),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133311-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,2024-07-09,2024-08-22,250000.0,44,0.1616,WS/  MP620/2024-2025/133310-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Sanction,1,0.0437578894451936,16.2,Low,state_Karnataka (-1.58),Standard project parameters within normal baseline limits.
WS/  MP620/2024-2025/133312-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,2024-07-09,2024-07-25,498091.0,16,0.4451,WS/  MP620/2024-2025/133308-Construction of buildings for community cultural activities,False,147000000.0,13261770.0,9.02,Physical Inspection,1,0.061118185606147735,21.7,Low,state_Karnataka (-1.6487),Standard project parameters within normal baseline limits.
"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),Pradeep Kumar Singh,ARARIA,Normal/Others,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",2024-07-12,2024-07-14,448127.0,2,0.0,,False,147000000.0,62323127.0,42.4,Physical Inspection,1,0.06463465400764845,7.7,Low,state_Bihar (-1.2003),Standard project parameters within normal baseline limits.
WS/MP498/2024-2025/133447-Construction of culverts and bridges,West Bengal,Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),Dr Sukanta Majumdar,BALURGHAT,Normal/Others,Phage 2: Concrete R.C.C. bridge,2024-07-13,2024-08-07,1602957.0,25,0.0548,WS/MP498/2025-2026/186881-Construction of foot over bridge (FOB),False,157085364.9,40133854.0,25.55,Physical Inspection,1,0.05000700316771883,11.9,Low,state_West Bengal (-1.0136),"Sanction amount (₹ 1,602,957) is 5.3x higher than the typical amount for work category 'Normal/Others'."
"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khnagela game mota faliya ma c.c.road nu kam,2024-07-17,2025-04-11,250000.0,268,0.2467,"WS/MP577/2025-2026/156515-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Physical Inspection,1,0.0743643044308574,13.5,Low,state_Gujarat (-1.0454),Standard project parameters within normal baseline limits.
"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,vijagadh game sampura balubhai na ghar thi kenal faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,0.1677,"WS/MP577/2024-2025/138727-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,18.3,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,2024-07-17,2025-10-17,242105.0,457,0.3649,"WS/MP577/2025-2026/133595-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Physical Inspection,1,0.05143459060165595,21.0,Low,state_Gujarat (-1.0522),Severe sanction delay of 457 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133552-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khapariya game damor faliya ma c.c.road nu kam,2024-07-17,2025-04-11,250000.0,268,0.2755,"WS/MP577/2025-2026/133556-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.05256968470261886,18.1,Low,state_Gujarat (-1.0445),Standard project parameters within normal baseline limits.
"WS/MP577/2025-2026/133553-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,agavada game gamtal sarpanch faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,0.3883,"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,25.0,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
WS/MP577/2025-2026/133554-Construction of shelters for animals,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,dashla game sarkari prathmik  shala ma shed nu kam,2024-07-17,2025-10-17,245098.0,457,0.1007,"WS/MP577/2024-2025/140780-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,16.3,Low,state_Gujarat (-1.0408),Severe sanction delay of 457 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133556-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khapariiya game damor simada faliya faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,0.2755,"WS/MP577/2025-2026/133552-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,21.6,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
WS/MP577/2025-2026/133557-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,VAROD SURPALI SADIYAVARU FALIYAMA AAVEL SARKARI SARVE NO.189-1 MA SAMUHIK KUVA NU KAM,2024-07-17,2026-01-02,250000.0,534,0.1893,WS/MP577/2024-2025/140754-Construction of public irrigation facilities,False,147000000.0,43181038.0,29.37,Sanction,1,0.022807412438092867,20.7,Low,state_Gujarat (-1.0407),Severe sanction delay of 534 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133558-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,varamkheda game mukhy rasta thi gamtal sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,0.4089,"WS/MP577/2025-2026/133603-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,25.6,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133559-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,moti kharaj game dhanthadi c.c.road nu kam,2024-07-17,2025-10-17,245098.0,457,0.1679,"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,18.3,Low,state_Gujarat (-1.0408),Severe sanction delay of 457 days (> 1 year) between recommendation and approval.
WS/MP577/2025-2026/133560-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nagrala game bamaniya faliya ma samuhik sinchai kuva nu kam,2024-07-17,2025-10-17,245826.0,457,0.4058,WS/MP577/2025-2026/133613-Construction of public irrigation facilities,False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,25.5,Low,state_Gujarat (-1.0408),Severe sanction delay of 457 days (> 1 year) between recommendation and approval.
WS/MP577/2025-2026/133561-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nasirpur game mavi faliya ma samuhik kuva nu kam,2024-07-17,2025-10-17,245826.0,457,0.7066,WS/MP577/2025-2026/133577-Construction of public irrigation facilities,False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,34.5,Low,state_Gujarat (-1.0408),Severe sanction delay of 457 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133562-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,punsari game bhuriya faliya ma paka rasta ne jodto c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,0.3305,"WS/MP577/2024-2025/133592-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,23.2,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133563-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,chandawada game toranvali mahudi faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,0.2122,"WS/MP577/2025-2026/156515-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,19.7,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133564-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,DHAVADIYA GAME BORVA FALIYAMA C.C.ROADNU KAM,2024-07-17,2026-01-02,250000.0,534,0.1162,"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Physical Inspection,1,0.044555815465145476,14.7,Low,state_Gujarat (-1.0522),Severe sanction delay of 534 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133565-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,simaliya khurd  game gamtal thi majubhai na ghar sudhi c.c.road nu kam,2024-07-17,2025-04-11,250000.0,268,0.1904,"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Physical Inspection,1,0.0743643044308574,11.8,Low,state_Gujarat (-1.0454),Standard project parameters within normal baseline limits.
"WS/MP577/2025-2026/133566-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,varamkheda game nadini bajuma c.c.road nu kam,2024-07-17,2025-10-07,250000.0,447,0.1851,"WS/MP577/2025-2026/133558-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,18.9,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133567-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,bhutodi game mohaniya  faliya ma c.c.road nu kam,2024-07-17,2025-10-17,245098.0,457,0.6695,"WS/MP577/2025-2026/133609-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",False,147000000.0,43181038.0,29.37,Physical Inspection,1,0.05143459060165595,30.1,Low,state_Gujarat (-1.0523),Severe sanction delay of 457 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133568-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,motikharaj game paka rasta thi  bhabhor faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,0.3481,"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,23.8,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khangela game paka rasta thi dineshbai gundiya  na ghar sudhi c.c.road nu kam,2024-07-17,2025-04-11,250000.0,268,0.3481,"WS/MP577/2025-2026/133568-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Physical Inspection,1,0.0743643044308574,16.5,Low,state_Gujarat (-1.0454),Standard project parameters within normal baseline limits.
WS/MP577/2025-2026/133570-Providing drains and gutters for public drainage,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,gadoi game umriya kotar upar smshan jata rasta upar nala nu kam,2024-07-17,2025-04-11,250000.0,268,0.1654,WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,False,147000000.0,43181038.0,29.37,Sanction,1,0.05256968470261886,14.8,Low,state_Gujarat (-1.0445),Standard project parameters within normal baseline limits.
WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,bavka game mulka faliya thi smshan taraf jata rasta par nala nu kam,2024-07-17,2025-04-11,250000.0,268,0.2503,WS/MP577/2025-2026/156514-Providing drains and gutters for public drainage,False,147000000.0,43181038.0,29.37,Sanction,1,0.05256968470261886,17.3,Low,state_Gujarat (-1.0445),Standard project parameters within normal baseline limits.
WS/MP577/2025-2026/133572-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,katwara game hathila faliya ma  samuhik kuva nu kam,2024-07-17,2025-10-17,245826.0,457,0.3495,WS/MP577/2024-2025/140754-Construction of public irrigation facilities,False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,23.8,Low,state_Gujarat (-1.0408),Severe sanction delay of 457 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nani kharaj game bandikhedi panda faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,0.1942,"WS/MP577/2025-2026/156515-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,19.1,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
"WS/MP577/2025-2026/133574-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,kathla game damar road thi parmar faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,0.1924,"WS/MP577/2024-2025/138734-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,19.1,Low,state_Gujarat (-1.0408),Severe sanction delay of 447 days (> 1 year) between recommendation and approval.
"WS/MP577/2024-2025/133575-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nalwai game chopadi faliya ma c.c.road nu kam,2024-07-17,2025-03-27,250000.0,253,0.2428,"WS/MP577/2025-2026/156515-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Work partially Completed,1,0.044572364886433236,18.5,Low,work_status_Work partially Completed (-1.182),Standard project parameters within normal baseline limits.
"WS/MP577/2024-2025/133576-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,garbada game kamliyavad faliyama c.c.road nu kam,2024-07-17,2025-03-27,250000.0,253,0.2575,"WS/MP577/2025-2026/133611-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Sanction,1,0.05256968470261886,17.6,Low,state_Gujarat (-1.0442),Standard project parameters within normal baseline limits.
WS/MP577/2025-2026/133577-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,lilar game mavi faliya ma  samuhik kuva nu kam,2024-07-17,2025-10-17,245826.0,457,0.7066,WS/MP577/2025-2026/133561-Construction of public irrigation facilities,False,147000000.0,43181038.0,29.37,Sanction,1,0.032443410843153664,34.5,Low,state_Gujarat (-1.0408),Severe sanction delay of 457 days (> 1 year) between recommendation and approval.
"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,chharchhoda game bhabhor faliya thi aanganvadi ne jodto c.c.roadnu kam,2024-07-17,2025-03-27,250000.0,253,0.2025,WS/MP577/2025-2026/140782-Construction of public irrigation facilities,False,147000000.0,43181038.0,29.37,Sanction,1,0.05256968470261886,15.9,Low,state_Gujarat (-1.0442),Standard project parameters within normal baseline limits.
"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,bhutardi game bhuriya faliya ma c.c.road nu kam,2024-07-17,2025-10-04,247496.0,444,0.6242,"WS/MP577/2024-2025/133592-Construction of roads, link roads, pathways or any other road with or without drainage system",False,147000000.0,43181038.0,29.37,Physical Inspection,1,0.05143459060165595,28.7,Low,state_Gujarat (-1.0523),Severe sanction delay of 444 days (> 1 year) between recommendation and approval.
