work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons
WS/  MP578/2024-2025/156640-Installing tube-wells and borewells,Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,tekra faliya ma bore moter nu kaam,2024-12-03,2025-02-18,149205.0,77,Physical Inspection,9.3,15.0,15.0,0.0,15.0,3.72,2.25,2.25,0.0,2.25,10.47,15.0,13.2,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP578/2024-2025/156641-Installing tube-wells and borewells,Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,navi vasahat faliya ma bore motor nu kam,2024-12-03,2025-02-18,149672.0,77,Physical Inspection,9.3,15.0,15.0,0.0,15.0,3.72,2.25,2.25,0.0,2.25,10.47,15.0,13.2,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156642-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,jayesh gambhir na faliya ma block peving nu kam,2024-12-03,2025-02-18,300000.0,77,Physical Inspection,8.4,15.0,15.0,0.0,15.0,3.36,2.25,2.25,0.0,2.25,10.11,15.0,13.0,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156643-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,suresh na faliya ma block peving nu kam,2024-12-03,2025-02-18,496648.0,77,Physical Inspection,9.0,15.0,15.0,0.0,15.0,3.6,2.25,2.25,0.0,2.25,10.35,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156644-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,undi game block fevar nu kam,2024-12-03,2025-02-18,396700.0,77,Physical Inspection,9.6,15.0,15.0,0.0,15.0,3.84,2.25,2.25,0.0,2.25,10.59,15.0,13.2,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156645-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,ghoda game adiwasi faliya ma block peving nu kam,2024-12-03,2025-02-18,299000.0,77,Physical Inspection,8.4,15.0,15.0,0.0,15.0,3.36,2.25,2.25,0.0,2.25,10.11,15.0,13.0,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156646-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,hirapor game vachla faliya ma block peving nu kam,2024-12-03,2025-02-18,250000.0,77,Physical Inspection,8.8,15.0,15.0,0.0,15.0,3.52,2.25,2.25,0.0,2.25,10.27,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156647-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,bhamadiya game golwad faliya ma sanjaybhai na ghare thi vijay gamir na ghar sudhi c c road nu kam,2024-12-03,2025-02-18,298000.0,77,Physical Inspection,8.4,15.0,15.0,0.0,15.0,3.36,2.25,2.25,0.0,2.25,10.11,15.0,13.0,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156648-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,mokhdi game main rasta thi chatrasingh gamit na ghar sudhi c c road nu kam,2024-12-03,2025-02-18,200000.0,77,Physical Inspection,8.5,15.0,15.0,0.0,15.0,3.4,2.25,2.25,0.0,2.25,10.15,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156649-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,nikoli game tad faliya ma rahulbhai na ghar pase block peving nu kam,2024-12-03,2025-02-18,200000.0,77,Physical Inspection,8.5,15.0,15.0,0.0,15.0,3.4,2.25,2.25,0.0,2.25,10.15,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156650-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,bharadiya game nishal faliya ma block peving nu kam,2024-12-03,2025-02-18,250000.0,77,Physical Inspection,8.8,15.0,15.0,0.0,15.0,3.52,2.25,2.25,0.0,2.25,10.27,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156652-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,sodgam game society faliya ma block peving nu kam,2024-12-03,2025-02-18,187000.0,77,Physical Inspection,8.5,15.0,15.0,0.0,15.0,3.4,2.25,2.25,0.0,2.25,10.15,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156653-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,pathar game modaliya thi movad faliya taraf jata c c rasta nu kam,2024-12-03,2025-02-18,200000.0,77,Sanction,17.5,15.0,15.0,0.0,15.0,7.0,2.25,2.25,0.0,2.25,13.75,17.5,16.0,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156654-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,dansoli game limdi faliya ma block peving nu kam,2024-12-03,2025-02-18,250000.0,77,Physical Inspection,8.8,15.0,15.0,0.0,15.0,3.52,2.25,2.25,0.0,2.25,10.27,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156655-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,nikoli gam thi vad gam taraf jata rasta par nada nu kam,2024-12-03,2025-02-18,200000.0,77,Work Completed,19.8,15.0,15.0,0.0,15.0,7.92,2.25,2.25,0.0,2.25,14.67,19.8,17.7,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156656-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,shinada game adivasi faliya ma block peving nu kam,2024-12-03,2025-02-18,295000.0,77,Physical Inspection,8.4,15.0,15.0,0.0,15.0,3.36,2.25,2.25,0.0,2.25,10.11,15.0,13.0,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156657-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,karsad game navi nagri ma block peving nu kam,2024-12-03,2025-02-18,200000.0,77,Physical Inspection,8.5,15.0,15.0,0.0,15.0,3.4,2.25,2.25,0.0,2.25,10.15,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156658-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,mirapor game vasava faliya ma c c rasta nu kam,2024-12-03,2025-02-18,200000.0,77,Physical Inspection,8.5,15.0,15.0,0.0,15.0,3.4,2.25,2.25,0.0,2.25,10.15,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156659-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,kanerav game c c road nu kam,2024-12-03,2025-02-18,299300.0,77,Physical Inspection,8.4,15.0,15.0,0.0,15.0,3.36,2.25,2.25,0.0,2.25,10.11,15.0,13.0,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156660-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,desad game adivasi faliya ma c c road nu kam,2024-12-03,2025-02-18,200000.0,77,Physical Inspection,8.5,15.0,15.0,0.0,15.0,3.4,2.25,2.25,0.0,2.25,10.15,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156661-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,valia game block peving nu kam,2024-12-03,2025-02-18,400000.0,77,Physical Inspection,9.6,15.0,15.0,0.0,15.0,3.84,2.25,2.25,0.0,2.25,10.59,15.0,13.2,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156662-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,hola kotar game tekra faliya ma block peving nu kam,2024-12-03,2025-02-18,200000.0,77,Physical Inspection,8.5,15.0,15.0,0.0,15.0,3.4,2.25,2.25,0.0,2.25,10.15,15.0,13.1,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP578/2024-2025/156663-Installing tube-wells and borewells,Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,shir game khati faliya ma rasikbhai sundar bhai na ghar pase bor motor,2024-12-03,2025-02-18,100000.0,77,Physical Inspection,9.7,15.0,15.0,0.0,15.0,3.88,2.25,2.25,0.0,2.25,10.629999999999999,15.0,13.3,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156665-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,mokhdi game vadsol faliya ma block peving nu kam,2024-12-03,2025-02-18,150000.0,77,Physical Inspection,9.1,15.0,15.0,0.0,15.0,3.64,2.25,2.25,0.0,2.25,10.39,15.0,13.2,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP578/2024-2025/156667-Installing tube-wells and borewells,Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,nikoli game tad faliya ma ranjit babubhai ghar pase bore motor nu kam,2024-12-03,2025-02-18,100000.0,77,Physical Inspection,9.7,15.0,15.0,0.0,15.0,3.88,2.25,2.25,0.0,2.25,10.629999999999999,15.0,13.3,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP578/2024-2025/156668-Installing tube-wells and borewells,Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,hola kotar game jashuben babubhai na ghar pase bore mottor,2024-12-03,2025-02-18,100000.0,77,Physical Inspection,9.7,15.0,15.0,0.0,15.0,3.88,2.25,2.25,0.0,2.25,10.629999999999999,15.0,13.3,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP578/2024-2025/156669-Installing tube-wells and borewells,Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,karsad game mota faliya ma pradipbhai na ghar pase bore motor nu kam,2024-12-03,2025-02-18,100000.0,77,Work Completed,21.2,15.0,15.0,0.0,15.0,8.48,2.25,2.25,0.0,2.25,15.23,21.2,18.8,Low,🟢 Project parameters within standard baseline bounds.
"WS/  MP578/2024-2025/156670-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,kondh game adiwasi faliya ma c c road nu kam,2024-12-03,2025-02-18,300000.0,77,Physical Inspection,8.4,15.0,15.0,0.0,15.0,3.36,2.25,2.25,0.0,2.25,10.11,15.0,13.0,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP578/2024-2025/156671-Installing tube-wells and borewells,Gujarat,BHARUCH(DISTRICT COLLECTOR BROACH_IDA),Mansukhbhai Dhanjibhai Vasava,BHARUCH,Normal/Others,rajgad bhaga game hanumanji na mandir pase bore motor nu kam,2024-12-03,2025-02-18,100000.0,77,Physical Inspection,9.7,15.0,15.0,0.0,15.0,3.88,2.25,2.25,0.0,2.25,10.629999999999999,15.0,13.3,Low,🟢 Project parameters within standard baseline bounds.
WS/MP313/2024-2025/156672-Construction of culverts and bridges,Arunachal Pradesh,EAST SIANG(Deputy Commisioner East Siang_IDA),Shri Tapir Gao,ARUNACHAL EAST,Normal/Others,C/o Culvert at 12th Mile near WRC field in East Siang District,2024-12-03,2025-01-24,1000000.0,52,Work Completed,20.7,15.0,15.0,0.0,15.0,8.28,2.25,2.25,0.0,2.25,15.03,20.7,18.4,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP859/2024-2025/156673-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),Kalyan Banerjee,SREERAMPUR,Normal/Others,CONSTRUCTION OF PCC ROAD FROM BARUJIBI BHATRI SANGHA TO SUKANTA ROY HOUSE VIA BARUJIBI RIPAN FURNITURE VIA SUBRATA DAS HOUSE AT SANSAD NO-22 WITHIN RISHRA GRAM PANCHAYAT UNDER SERAMPORE UTTARPARA BLOCK.,2024-12-03,2024-12-27,348535.0,24,Physical Inspection,13.8,15.0,15.0,0.0,15.0,5.52,2.25,2.25,0.0,2.25,12.27,15.0,13.9,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP859/2024-2025/156674-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),Kalyan Banerjee,SREERAMPUR,Normal/Others,CONSTRUCTION OF CONCRETE ROAD FROM THE H/O DUDKUMAR BOR TO BHAI BHAI SANGHA VIA NODO AT PASCHIMPARA IN PIYARAPUR GRAM PANCHAYAT UNDER SERAMPORE UTTARPARA BLOCK.,2024-12-03,2024-12-27,749590.0,24,Physical Inspection,15.7,15.0,15.0,0.0,15.0,6.28,2.25,2.25,0.0,2.25,13.030000000000001,15.7,14.6,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP859/2024-2025/156675-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),Kalyan Banerjee,SREERAMPUR,Normal/Others,CONSTRUCTION OF ROAD FROM HOUSE OF PANKAJ GAYEN TO HOUSE OF PURNIMA PATRA UNDER RAGHUNATHPUR GRAM PANCHAYAT WITHIN SERAMPORE-UTTARPARA DEV. BLOCK.,2024-12-03,2024-12-27,633003.0,24,Physical Inspection,14.9,15.0,15.0,0.0,15.0,5.96,2.25,2.25,0.0,2.25,12.71,15.0,14.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP859/2024-2025/156676-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),Kalyan Banerjee,SREERAMPUR,Normal/Others,CONSTRUCTION OF PCC ROAD FROM DAKSHMINPARA RAMES PAUL TO AJIT PAUL HOUSE TO AT SANSAD NO-20 WITHIN RISHRA GRAM PANCHAYAT UNDER SERAMPORE UTTARPARA,2024-12-03,2024-12-27,415103.0,24,Physical Inspection,13.6,15.0,15.0,0.0,15.0,5.44,2.25,2.25,0.0,2.25,12.190000000000001,15.0,13.9,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP859/2024-2025/156677-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA),Kalyan Banerjee,SREERAMPUR,Normal/Others,"CONSTRUCTION OF ROAD FROM H/O BONOMALI PATRA TO PLOT OF BISWAJIT SARKAR BY CONCRETE AT NAWAPARA, SN-IX, AT KANAIPUR GRAM PANCHAYAT UNDER SERAMPORE-UTTARPARA DEV. BLOCK",2024-12-03,2024-12-27,704392.0,24,Physical Inspection,14.5,15.0,15.0,0.0,15.0,5.8,2.25,2.25,0.0,2.25,12.55,15.0,14.0,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP345/2024-2025/156679-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,Normal/Others,Concreting of road from Kodakkayam Membermukku - Maniyaramukal in Vilavoorkonam Ward at Kalluvathukkal GP in Chathanoor Constituency,2024-12-03,2025-03-15,569369.0,102,Physical Inspection,14.1,15.0,45.0,0.0,15.0,5.64,2.25,6.75,0.0,2.25,16.89,45.0,33.8,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP345/2024-2025/156680-Construction of roads, link roads, pathways or any other road with or without drainage system",Kerala,KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA),Shri NK Premachandran,KOLLAM,Normal/Others,"Concreting of Cherukulathu Ela road, Kummallur Ward No. 9, Adichanalloor GP at Chathanoor Consttituency",2024-12-03,2025-03-15,618503.0,102,Physical Inspection,14.2,15.0,45.0,0.0,15.0,5.68,2.25,6.75,0.0,2.25,16.93,45.0,33.8,Low,🟢 Project parameters within standard baseline bounds.
WS/MP18311/2025-2026/156681-Purchase of mobile water tankers,Punjab,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,Normal/Others,Purchase of mobile water tankers at Village Khandupur,2024-12-04,2025-08-20,300000.0,259,Physical Inspection,31.8,15.0,75.0,35.640481144777084,15.0,12.72,2.25,11.25,5.3461,2.25,33.8161,75.0,58.5,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 259 days.
"WS/MP18311/2024-2025/156682-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,Normal/Others,Construction of street for Samshan ghat at village Khanpur kulewal upper,2024-12-04,2025-01-15,250000.0,42,Physical Inspection,11.3,15.0,15.0,0.0,15.0,4.52,2.25,2.25,0.0,2.25,11.27,15.0,13.5,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP18311/2024-2025/156683-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,Normal/Others,Construction of street for Samshan ghat at village Paniali kalan,2024-12-04,2025-01-15,250000.0,42,Physical Inspection,11.3,15.0,15.0,0.0,15.0,4.52,2.25,2.25,0.0,2.25,11.27,15.0,13.5,Low,🟢 Project parameters within standard baseline bounds.
WS/MP18311/2024-2025/156685-Construction of buildings for community cultural activities,Punjab,Shahid Bhagat Singh Nagar(Deputy Commissioner Shahid Bhagat Singh Nagar_ida),MALVINDER SINGH KANG,ANANDPUR SAHIB,Normal/Others,Construction of room for SC community cultural activities at Village Tundewal,2024-12-04,2025-01-15,250000.0,42,Physical Inspection,11.3,15.0,15.0,0.0,15.0,4.52,2.25,2.25,0.0,2.25,11.27,15.0,13.5,Low,🟢 Project parameters within standard baseline bounds.
