work_id,state,ida,mp_name,constituency,work_category,work_description_clean,recommended_dt,sanction_dt,sanction_amount,sanction_delay_days,work_status,v1_anomaly_score,cost_anomaly_score,delay_anomaly_score,duplicate_score,fund_utilization_score,v1_contrib,cost_contrib,delay_contrib,duplicate_contrib,fund_contrib,base_weighted_sum,max_signal,composite_risk_score,risk_level,risk_reasons
WS/  MP620/2024-2025/133166-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,2024-07-09,497185.0,1,Physical Inspection,18.3,15.0,15.0,0.0,15.0,7.32,2.25,2.25,0.0,2.25,14.07,18.3,16.6,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,Construction of College room of  CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,2025-09-18,500000.0,437,Sanction,71.4,15.0,100.0,0.0,15.0,28.56,2.25,15.0,0.0,2.25,48.06,100.0,79.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 437 days. | 🟠 Category signal: Special entity category 'Trust and Society'.
WS/  MP620/2024-2025/133190-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Trust and Society,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,2024-07-08,2024-09-23,450000.0,77,Sanction,54.4,15.0,15.0,0.0,15.0,21.76,2.25,2.25,0.0,2.25,28.51,54.4,44.0,Medium,🟠 Category signal: Special entity category 'Trust and Society'.
WS/  MP620/2025-2026/133191-Construction of buildings for community cultural activities,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,2025-05-29,1500000.0,325,Work partially Completed,42.4,15.0,75.0,0.0,15.0,16.96,2.25,11.25,0.0,2.25,32.71,75.0,58.1,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 325 days.
WS/  MP620/2024-2025/133301-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",2024-07-09,2024-08-22,398009.0,44,Physical Inspection,17.1,15.0,15.0,0.0,15.0,6.84,2.25,2.25,0.0,2.25,13.59,17.1,15.7,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP620/2024-2025/133303-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,2024-07-09,2024-07-25,399104.0,16,Physical Inspection,17.4,15.0,15.0,0.0,15.0,6.96,2.25,2.25,0.0,2.25,13.71,17.4,15.9,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP620/2024-2025/133304-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,2024-08-22,396154.0,44,Physical Inspection,17.1,15.0,15.0,0.0,15.0,6.84,2.25,2.25,0.0,2.25,13.59,17.1,15.7,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP620/2025-2026/133305-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,2024-07-09,2025-06-03,400000.0,329,Sanction,33.7,15.0,75.0,0.0,15.0,13.48,2.25,11.25,0.0,2.25,29.23,75.0,56.7,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 329 days.
WS/  MP620/2024-2025/133306-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,2025-03-14,495627.0,248,Physical Inspection,22.2,15.0,75.0,0.0,15.0,8.88,2.25,11.25,0.0,2.25,24.630000000000003,75.0,54.9,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 248 days.
WS/  MP620/2024-2025/133307-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,2024-08-17,398955.0,39,Physical Inspection,17.5,15.0,15.0,0.0,15.0,7.0,2.25,2.25,0.0,2.25,13.75,17.5,16.0,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP620/2024-2025/133308-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,2024-07-09,2024-08-17,399304.0,39,Physical Inspection,17.5,15.0,15.0,0.0,15.0,7.0,2.25,2.25,0.0,2.25,13.75,17.5,16.0,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP620/2024-2025/133309-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,2024-07-09,2025-03-14,495031.0,248,Physical Inspection,22.1,15.0,75.0,0.0,15.0,8.84,2.25,11.25,0.0,2.25,24.59,75.0,54.8,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 248 days.
WS/  MP620/2024-2025/133310-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,2024-07-09,2024-08-22,247583.0,44,Physical Inspection,16.2,15.0,15.0,0.0,15.0,6.48,2.25,2.25,0.0,2.25,13.23,16.2,15.0,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP620/2024-2025/133311-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,2024-07-09,2024-08-22,250000.0,44,Sanction,23.0,15.0,15.0,0.0,15.0,9.2,2.25,2.25,0.0,2.25,15.95,23.0,20.2,Low,🟢 Project parameters within standard baseline bounds.
WS/  MP620/2024-2025/133312-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Normal/Others,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,2024-07-09,2024-07-25,498091.0,16,Physical Inspection,16.3,15.0,15.0,0.0,15.0,6.52,2.25,2.25,0.0,2.25,13.27,16.3,15.1,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),Pradeep Kumar Singh,ARARIA,Normal/Others,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",2024-07-12,2024-07-14,448127.0,2,Physical Inspection,15.0,15.0,15.0,0.0,15.0,6.0,2.25,2.25,0.0,2.25,12.75,15.0,14.1,Low,🟢 Project parameters within standard baseline bounds.
WS/MP498/2024-2025/133447-Construction of culverts and bridges,West Bengal,Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),Dr Sukanta Majumdar,BALURGHAT,Normal/Others,Phage 2: Concrete R.C.C. bridge,2024-07-13,2024-08-07,1602957.0,25,Physical Inspection,20.6,15.0,15.0,0.0,15.0,8.24,2.25,2.25,0.0,2.25,14.99,20.6,18.4,Low,🟢 Project parameters within standard baseline bounds.
"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khnagela game mota faliya ma c.c.road nu kam,2024-07-17,2025-04-11,250000.0,268,Physical Inspection,11.2,15.0,75.0,0.0,15.0,4.48,2.25,11.25,0.0,2.25,20.23,75.0,53.1,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 268 days.
"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,vijagadh game sampura balubhai na ghar thi kenal faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,2024-07-17,2025-10-17,242105.0,457,Physical Inspection,20.1,15.0,100.0,0.0,15.0,8.04,2.25,15.0,0.0,2.25,27.54,100.0,71.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 457 days.
"WS/MP577/2025-2026/133552-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khapariya game damor faliya ma c.c.road nu kam,2024-07-17,2025-04-11,250000.0,268,Sanction,19.6,15.0,75.0,0.0,15.0,7.84,2.25,11.25,0.0,2.25,23.59,75.0,54.4,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 268 days.
"WS/MP577/2025-2026/133553-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,agavada game gamtal sarpanch faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
WS/MP577/2025-2026/133554-Construction of shelters for animals,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,dashla game sarkari prathmik  shala ma shed nu kam,2024-07-17,2025-10-17,245098.0,457,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 457 days.
"WS/MP577/2025-2026/133556-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khapariiya game damor simada faliya faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
WS/MP577/2025-2026/133557-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,VAROD SURPALI SADIYAVARU FALIYAMA AAVEL SARKARI SARVE NO.189-1 MA SAMUHIK KUVA NU KAM,2024-07-17,2026-01-02,250000.0,534,Sanction,31.1,15.0,100.0,0.0,15.0,12.44,2.25,15.0,0.0,2.25,31.939999999999998,100.0,72.8,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 534 days.
"WS/MP577/2025-2026/133558-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,varamkheda game mukhy rasta thi gamtal sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
"WS/MP577/2025-2026/133559-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,moti kharaj game dhanthadi c.c.road nu kam,2024-07-17,2025-10-17,245098.0,457,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 457 days.
WS/MP577/2025-2026/133560-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nagrala game bamaniya faliya ma samuhik sinchai kuva nu kam,2024-07-17,2025-10-17,245826.0,457,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 457 days.
WS/MP577/2025-2026/133561-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nasirpur game mavi faliya ma samuhik kuva nu kam,2024-07-17,2025-10-17,245826.0,457,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 457 days.
"WS/MP577/2025-2026/133562-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,punsari game bhuriya faliya ma paka rasta ne jodto c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
"WS/MP577/2025-2026/133563-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,chandawada game toranvali mahudi faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
"WS/MP577/2025-2026/133564-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,DHAVADIYA GAME BORVA FALIYAMA C.C.ROADNU KAM,2024-07-17,2026-01-02,250000.0,534,Physical Inspection,22.7,15.0,100.0,0.0,15.0,9.08,2.25,15.0,0.0,2.25,28.58,100.0,71.4,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 534 days.
"WS/MP577/2025-2026/133565-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,simaliya khurd  game gamtal thi majubhai na ghar sudhi c.c.road nu kam,2024-07-17,2025-04-11,250000.0,268,Physical Inspection,11.2,15.0,75.0,0.0,15.0,4.48,2.25,11.25,0.0,2.25,20.23,75.0,53.1,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 268 days.
"WS/MP577/2025-2026/133566-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,varamkheda game nadini bajuma c.c.road nu kam,2024-07-17,2025-10-07,250000.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
"WS/MP577/2025-2026/133567-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,bhutodi game mohaniya  faliya ma c.c.road nu kam,2024-07-17,2025-10-17,245098.0,457,Physical Inspection,20.1,15.0,100.0,0.0,15.0,8.04,2.25,15.0,0.0,2.25,27.54,100.0,71.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 457 days.
"WS/MP577/2025-2026/133568-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,motikharaj game paka rasta thi  bhabhor faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,khangela game paka rasta thi dineshbai gundiya  na ghar sudhi c.c.road nu kam,2024-07-17,2025-04-11,250000.0,268,Physical Inspection,11.2,15.0,75.0,0.0,15.0,4.48,2.25,11.25,0.0,2.25,20.23,75.0,53.1,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 268 days.
WS/MP577/2025-2026/133570-Providing drains and gutters for public drainage,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,gadoi game umriya kotar upar smshan jata rasta upar nala nu kam,2024-07-17,2025-04-11,250000.0,268,Sanction,19.6,15.0,75.0,0.0,15.0,7.84,2.25,11.25,0.0,2.25,23.59,75.0,54.4,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 268 days.
WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,bavka game mulka faliya thi smshan taraf jata rasta par nala nu kam,2024-07-17,2025-04-11,250000.0,268,Sanction,19.6,15.0,75.0,0.0,15.0,7.84,2.25,11.25,0.0,2.25,23.59,75.0,54.4,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 268 days.
WS/MP577/2025-2026/133572-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,katwara game hathila faliya ma  samuhik kuva nu kam,2024-07-17,2025-10-17,245826.0,457,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 457 days.
"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nani kharaj game bandikhedi panda faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
"WS/MP577/2025-2026/133574-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,kathla game damar road thi parmar faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,447,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 447 days.
"WS/MP577/2024-2025/133575-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nalwai game chopadi faliya ma c.c.road nu kam,2024-07-17,2025-03-27,250000.0,253,Work partially Completed,22.7,15.0,75.0,0.0,15.0,9.08,2.25,11.25,0.0,2.25,24.83,75.0,54.9,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 253 days.
"WS/MP577/2024-2025/133576-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,garbada game kamliyavad faliyama c.c.road nu kam,2024-07-17,2025-03-27,250000.0,253,Sanction,19.6,15.0,75.0,0.0,15.0,7.84,2.25,11.25,0.0,2.25,23.59,75.0,54.4,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 253 days.
WS/MP577/2025-2026/133577-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,lilar game mavi faliya ma  samuhik kuva nu kam,2024-07-17,2025-10-17,245826.0,457,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 457 days.
"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,chharchhoda game bhabhor faliya thi aanganvadi ne jodto c.c.roadnu kam,2024-07-17,2025-03-27,250000.0,253,Sanction,19.6,15.0,75.0,0.0,15.0,7.84,2.25,11.25,0.0,2.25,23.59,75.0,54.4,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 253 days.
"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,bhutardi game bhuriya faliya ma c.c.road nu kam,2024-07-17,2025-10-04,247496.0,444,Physical Inspection,20.1,15.0,100.0,0.0,15.0,8.04,2.25,15.0,0.0,2.25,27.54,100.0,71.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 444 days.
"WS/MP577/2025-2026/133580-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,minakyar game bilval faliya ma c.c.road nu kam,2024-07-17,2025-10-04,247496.0,444,Sanction,27.4,15.0,100.0,0.0,15.0,10.96,2.25,15.0,0.0,2.25,30.46,100.0,72.2,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 444 days.
"WS/MP577/2025-2026/133581-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,kharva game rasulbhaina ghar pase nikalti  sheri thi aanganvadi sudhi c.c.road nu kam,2024-07-17,2026-01-12,250000.0,544,Sanction,32.4,15.0,100.0,0.0,15.0,12.96,2.25,15.0,0.0,2.25,32.46,100.0,73.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 544 days.
WS/MP577/2025-2026/133582-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,nelsur game aashram faliya ma saamuhik kuva nu kam,2024-07-17,2026-01-12,250000.0,544,Sanction,32.4,15.0,100.0,0.0,15.0,12.96,2.25,15.0,0.0,2.25,32.46,100.0,73.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 544 days.
WS/MP577/2025-2026/133583-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,ambli game khada faliya ma samuhik  kuva nu kam,2024-07-17,2026-01-12,250000.0,544,Sanction,32.4,15.0,100.0,0.0,15.0,12.96,2.25,15.0,0.0,2.25,32.46,100.0,73.0,High,🔴 Delay anomaly: Recommendation-to-sanction lag of 544 days.
"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,vajelav game sarpanch faliya ma c.c.road nu kam,2024-07-17,2025-03-27,249291.0,253,Physical Inspection,11.2,15.0,75.0,0.0,15.0,4.48,2.25,11.25,0.0,2.25,20.23,75.0,53.1,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 253 days.
"WS/MP577/2024-2025/133585-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,2024-07-17,2025-03-27,250000.0,253,Physical Inspection,11.2,15.0,75.0,0.0,15.0,4.48,2.25,11.25,0.0,2.25,20.23,75.0,53.1,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 253 days.
"WS/MP577/2024-2025/133586-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),Normal/Others,abhlod game indira nagari faliya ma c.c.road nu kam,2024-07-17,2025-03-27,249291.0,253,Sanction,19.6,15.0,75.0,0.0,15.0,7.84,2.25,11.25,0.0,2.25,23.59,75.0,54.4,Medium,🔴 Delay anomaly: Recommendation-to-sanction lag of 253 days.
